Age,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,Gender_female,Gender_male,Gender_other,no_employees_mid
37,United States,IL,No,No,Yes,Often,6-25,No,Yes,Yes,Unknown,No,Yes,Yes,Easy,No,No,Maybe,Yes,No,Maybe,Yes,No,True,False,False,15
44,United States,IN,No,No,No,Rarely,more than 1000,No,No,Unknown,No,Unknown,Unknown,Unknown,Easy,Maybe,No,No,No,No,No,Maybe,No,False,True,False,1500
32,Canada,Unknown,No,No,No,Rarely,6-25,No,Yes,No,No,No,No,Unknown,Difficult,No,No,Yes,Yes,Yes,Yes,No,No,False,True,False,15
31,United Kingdom,Unknown,No,Yes,Yes,Often,26-100,No,Yes,No,Yes,No,No,No,Difficult,Yes,Yes,Maybe,No,Maybe,Maybe,No,Yes,False,True,False,63
31,United States,TX,No,No,No,Never,100-500,Yes,Yes,Yes,No,Unknown,Unknown,Unknown,Easy,No,No,Maybe,Yes,Yes,Yes,Maybe,No,False,True,False,300
33,United States,TN,No,Yes,No,Sometimes,6-25,No,Yes,Yes,Unknown,No,Unknown,Unknown,Easy,No,No,Yes,Yes,No,Maybe,Maybe,No,False,True,False,15
35,United States,MI,No,Yes,Yes,Sometimes,1-5,Yes,Yes,No,No,No,No,No,Difficult,Maybe,Maybe,Maybe,No,No,No,Maybe,No,True,False,False,3
39,Canada,Unknown,No,No,No,Never,1-5,Yes,Yes,No,Yes,No,No,Yes,Easy,No,No,No,No,No,No,No,No,False,True,False,3
42,United States,IL,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,True,False,False,300
23,Canada,Unknown,No,No,No,Never,26-100,No,Yes,Unknown,No,Unknown,Unknown,Unknown,Easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,False,True,False,63
31,United States,OH,No,No,Yes,Sometimes,6-25,Yes,Yes,Unknown,No,No,No,Unknown,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,15
29,Bulgaria,Unknown,No,No,No,Never,100-500,Yes,Yes,Unknown,Unknown,No,No,Unknown,Easy,No,No,Yes,Yes,Yes,Yes,Maybe,No,False,True,False,300
42,United States,CA,No,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,Unknown,Difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes,True,False,False,63
